Time Stamp,Time Zone,Name,PTID,Load
10/11/16 0:45,EDT,GENESE,61753,869
10/11/16 0:45,EDT,HUD VL,61758,799.9
10/11/16 0:45,EDT,LONGIL,61762,1673.6
10/11/16 0:45,EDT,MHK VL,61756,707.6
10/11/16 0:45,EDT,MILLWD,61759,214.5
10/11/16 0:45,EDT,N.Y.C.,61761,4333.5
10/11/16 0:45,EDT,NORTH,61755,455.8
10/11/16 0:45,EDT,WEST,61752,1461.8
10/11/16 0:50,EDT,CAPITL,61757,1093.8
10/11/16 0:50,EDT,CENTRL,61754,1408
10/11/16 0:50,EDT,DUNWOD,61760,478.8
10/11/16 0:50,EDT,GENESE,61753,857.9
10/11/16 0:50,EDT,HUD VL,61758,788.3
10/11/16 0:50,EDT,LONGIL,61762,1686.1
10/11/16 0:50,EDT,MHK VL,61756,707.2
10/11/16 0:50,EDT,MILLWD,61759,214.7
10/11/16 0:50,EDT,N.Y.C.,61761,4326
10/11/16 0:50,EDT,NORTH,61755,467.3
10/11/16 0:50,EDT,WEST,61752,1488.1
10/11/16 0:55,EDT,CAPITL,61757,1083.6
10/11/16 0:55,EDT,CENTRL,61754,1402.6
10/11/16 0:55,EDT,DUNWOD,61760,484.5
10/11/16 0:55,EDT,GENESE,61753,861.9
10/11/16 0:55,EDT,HUD VL,61758,785.2
10/11/16 0:55,EDT,LONGIL,61762,1681.4
10/11/16 0:55,EDT,MHK VL,61756,708.9
10/11/16 0:55,EDT,MILLWD,61759,211.1
10/11/16 0:55,EDT,N.Y.C.,61761,4294.2
10/11/16 0:55,EDT,NORTH,61755,473.3
10/11/16 0:55,EDT,WEST,61752,1459.8
10/11/16 1:00,EDT,CAPITL,61757,1073.5
10/11/16 1:00,EDT,CENTRL,61754,1410
10/11/16 1:00,EDT,DUNWOD,61760,485.3
10/11/16 1:00,EDT,GENESE,61753,854.2
10/11/16 1:00,EDT,HUD VL,61758,792.4
10/11/16 1:00,EDT,LONGIL,61762,1670
10/11/16 1:00,EDT,MHK VL,61756,702.6
10/11/16 1:00,EDT,MILLWD,61759,204.3
10/11/16 1:00,EDT,N.Y.C.,61761,4246.6
10/11/16 1:00,EDT,NORTH,61755,459.9
10/11/16 1:00,EDT,WEST,61752,1461.2
10/11/16 1:05,EDT,CAPITL,61757,1074.5
